name,review
Электрическая плита Мечта 15М белый," - Цена- Хорошая духовка - На подставке стоит очень неустойчиво- Тены стоят неровно, соответственно кастрюли стоят с перекосом и неустойчиво. Неравномерый прогрев дна из-за косых тенов."
Электрическая плита FLAMA CE 3201 W белый, Размер и наличие духовки. Нет В студию самый раз. И духовка отличная!
Электрическая плита Мечта 221Ч белый," Купила совсем недавно, очень довольна, нужна была именно небольшая плита с духовкой. Единственное что не понравилось, что неудобно прикручивать подставку к плите и не хватило пару болтов в этом креплении, но это мелочи Конфорки и духовка нагреваются быстро"
Электрическая плита DARINA S EM521 404 W/B белый," + цена + узкая по размеру + современная внешне + хорошо работает + работает от обычной розетки, подключается через обычную (как у утюга, чайника, блендера) вилку. + аккуратно смотрится в интерьере легко и ненавязчиво + после одного раза использования духовки или конфорки уходит запах новой конфорки и духовки + имеет удобный, ровный противень для духовки + имеет регуляторы хорошие температур и у духовки тоже + длинный провод, дотянулся до моей дальней розетки, в которую было желательнее подключить печку + быстро и хорошо нагревается при включении - нет света в духовке Я имею небольшую кухню и в поиске компактной печки обратила внимание на эту. Читая комментарии и отзывы о ней в интернете чувствовала себя при покупке рискованной. Теперь хочу оставить свой отзыв, чтобы люди со спокойным сердцем могли ее выбрать, потому что она хорошая."
Электрическая плита Мечта 251Ч белый," Небольшие размеры, низкое энергопотребление Нужна была небольшая плита с двумя конфорками и духовкой, к сожалению аналогов с такими размерами не нашел пришлось взять эту. После распаковки плиты и визуального осмотра выявились следующие недостатки: 1.Эмаль нанесена с небольшими дефектами (есть неровности, углубления, микросколы) с расстояния сантиметров 50 они не видны, но при близком рассмотрении заметить можно. 2. Всё таки опорные болты можно было сделать нормально(болт вкручивается в основание и на него надевается пластиковый колпачок) ладно хоть не гвозди... 3. Неприятно удивило отсутствие выдвижного ящика, место под него есть, крышка есть, а сам ящик приделать к этой крышке наверное забыли. Соединяется эта крышка с плитой с помощью непонятного хлипкого механизма. Какая то жесть, которая гнется от небольшого усилия(есть ощущение что отвалится после пары открываний). Хотя может это дизайнерский изыск? 4. В духовке есть поддон и решотка. Так вот поддон сильно изогнут, такое ощущение что ему пытались придать форму спирали, но не довели задумку до конца))). 5. Самое ""интересное"" выяснилось при установке. Начал выстовлять плиту чтобы конфорки были по уровню и тут оказалось что они находятся в разных плоскостях. То есть одна ровно, вторая с большим наклоном(градусов 10). Сама панель где находятся конфорки имеет люфт, при надавливании один край ощутимо ходит."
Электрическая плита FLAMA AE 14025 W белый," Цена? их нет Очень тонкий корпус,при перевозке под собственным весом погнулся(ножки сзади плиты),через пол года отвалилась ручка духовки(пластик просто сломался )2 комфорки нормально не греют Хотел взять дешевую плитку,взял ,отвратительное качество не вздумайте покупать"
Электрическая плита Мечта 29 белый," Не большой размер Не греет а шаит,сделано действительно на соплях."
Электрическая плита Лысьва ЭП301СТ белый," Цена,надёжность. Нет нижней полки для посуды там просто заглушка (при желании снимается). Не пишу о недостатках так как за эту цену выбора электроплит особого то и нет. А среди собратьев по ценовой категории данная печка одна из самых надёжных . Из опыта стоит 5й год у родителей ещё одну покупал когда жили на съемной квартире сейчас купил тёще точно такую же. P.S. при покупке и осмотре не пугайтесь отсутствия кабеля питания и розетки он есть просто спрятан внутри печки за задней панелью которая прикручена 4мя винтами."
Электрическая плита FLAMA AE 1406 W белый," Ручка открывания сделана из пластика и прикреплена не очень уверенно. Лампочки в духовом шкафу нет. Должна была быть крышка, которая накладывается сверхку плиты, но ее видимо убрали и плита приехала к нам без нее. Ну и не нужна она нам. Но имейте ввиду. В целом, работает отлично. Блины быстро нагреваются, духовка работает по полной, но обдува у нее нет, имейте ввиду. Выглядит стильно. Ищете недорогой вариант за небольшие деньги - хороший вариант."
Электрическая плита FLAMA AE 1403 W белый," дешево и даже греет -Периодически не срабатывает включение конфорок, вроде включил, ждешь пока нагреется, а она и не думает, выключил, опять включил - заработала. -Как на 6 раскочегарится, потом не остановить...а на 3 вообще еле-еле... Я для себя выбрала 4, но на ней тоже может потом подгорать... -Духовка - отдельная тема: на 280 можно готовить только мясо, или только овощи в рукаве, на 200 - вообще еле работает...по крайней мере там явно нет обещанных 200 гр, так как ни одно печенье или торт не готовятся, вот так и щелкаешь, то на 280, то на 200."
